Solute_Canon,Solvent_Canon,gid,n_points,T_min,T_max,T_range,logS_min,logS_max,logS_range,model,A,B,C,R2,RMSE
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,C1CCOC1,1186,5,283.0,323.0,40.0,-1.2503646028445097,-0.9929796215987458,0.2573849812457639,apelblat,-54.46242507507956,1913.1533192819136,8.228638222028769,0.9966102645235033,0.005180795884653435
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,C=C(C)C1CC=C(C)CC1,1186,5,283.0,323.0,40.0,-2.02510710518294,-1.5600504244018991,0.4650566807810408,apelblat,42.230091540889916,-2868.505056026207,-6.042117408135374,0.986769104248419,0.01871006357472878
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,CC(C)=O,1186,5,283.0,323.0,40.0,-3.216284548592021,-2.72398342592351,0.4923011226685112,apelblat,88.41977309875537,-5102.295118200725,-13.039962945564767,0.9940322064134914,0.013985201068575077
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,CCOC(C)=O,1186,5,283.0,323.0,40.0,-2.8606098272984584,-2.350446193061668,0.5101636342367906,apelblat,-40.34829841403327,680.2657732474182,6.213234150915842,0.996764032745497,0.010551341109589859
Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,Cc1ccccc1,1186,5,283.0,323.0,40.0,-1.5828103662983095,-1.1504791929342308,0.43233117336407867,apelblat,90.52093479876393,-5001.339339950775,-13.185682290735242,0.9946250123587497,0.011624407017713093
Brc1cc(Br)cc(Br)c1,C1COCCO1,110,9,288.15,328.15,40.0,-0.081693918558072,0.3872477832687337,0.4689417018268057,apelblat,-37.609323406215495,782.6168415279467,6.146472365303426,0.9996986265082587,0.002622506683691035
Brc1cc(Br)cc(Br)c1,CC(=O)N(C)C,110,9,288.15,328.15,40.0,-0.7566161724113228,-0.1169537499478695,0.6396624224634533,apelblat,1.3990055435026343,-1366.192363067351,0.4567083488926749,0.9998395491975123,0.002604554939093272
Brc1cc(Br)cc(Br)c1,CN(C)C=O,110,9,288.15,328.15,40.0,-0.8809300636476836,-0.1622382370190462,0.7186918266286374,apelblat,16.380646274567752,-2209.028128890929,-1.6937963963849563,0.999543310393317,0.0049257164229242765
Brc1ccc(NC2=NCCC3(CCCCC3)S2)cc1,CCCCCC,1221,5,293.15,315.15,22.0,-3.725314849786194,-3.21224539558872,0.5130694541974741,apelblat,29.295426714770304,-3330.588728406228,-3.8129532387753255,0.9994471176828494,0.00438391459581345
Brc1cn[nH]c1,CCO,290,15,283.15,318.15,35.0,0.7944425743110687,1.2326992691125112,0.43825669480144247,apelblat,-221.39594353106293,9009.637199612222,33.7190639946396,0.9993741490967353,0.0033555185235213804
Brc1cn[nH]c1,CO,290,15,283.15,318.15,35.0,0.803877282250202,1.384508115766285,0.580630833516083,apelblat,-91.11205721544445,2847.7808916842623,14.49826252062891,0.9999070088959677,0.0017378222633729517
Brc1cn[nH]c1,O,290,15,283.15,318.15,35.0,-0.5725246281535722,-0.2611043005984267,0.3114203275551455,apelblat,-13.066106514338777,-121.72311490956481,2.2885293623713183,0.9998347702340937,0.0012453784426564476
Brc1cnc2[nH]ccc2c1,CC#N,677,10,278.15,323.15,45.0,-1.359656813572176,-0.6705952927286388,0.6890615208435372,apelblat,53.63381344847949,-3568.7070973412856,-7.488355436659021,0.9979487011530503,0.009600968112886622
Brc1cnc2[nH]ccc2c1,CC(C)O,677,10,278.15,323.15,45.0,-0.9815428159064994,-0.44633997706944,0.5352028388370593,apelblat,-1.453054362299516,-890.6065380985011,0.6524483584528407,0.9995051987289846,0.003858380492816025
Brc1cnc2[nH]ccc2c1,CCCCCC,677,10,278.15,323.15,45.0,-2.931088576986165,-2.5219923355528344,0.40909624143333057,apelblat,-9.347034394781845,-398.9195120822612,1.3945778162760556,0.9982286821332378,0.005493416512876568
Brc1cnc2[nH]ccc2c1,CCCCO,677,10,278.15,323.15,45.0,-0.76101912820376,-0.3376403155461183,0.42337881265764177,apelblat,17.38804099311281,-1513.4192931661487,-2.25745511900582,0.9996232189599776,0.0025954893071018967
Brc1cnc2[nH]ccc2c1,CCCO,677,10,278.15,323.15,45.0,-0.901265933592261,-0.4003482263559649,0.5009177072362961,apelblat,14.855134356042534,-1537.2796312475257,-1.817024510631486,0.9994239872806355,0.0038064838752586735
Brc1cnc2[nH]ccc2c1,CCO,677,10,278.15,323.15,45.0,-0.8633962724495485,-0.3810133642174258,0.4823829082321227,apelblat,28.085561959713825,-2084.3947981501883,-3.81049490768231,0.9983335305354201,0.0061529826911349795
Brc1cnc2[nH]ccc2c1,CCOC(C)=O,677,10,278.15,323.15,45.0,-0.7680514086784352,-0.3352290336981605,0.43282237498027476,apelblat,-39.4425411976052,1000.0446183528198,6.233010886297361,0.9991870846317109,0.003953487068938795
Brc1cnc2[nH]ccc2c1,CO,677,10,278.15,323.15,45.0,-0.8227007073472935,-0.3832058959587228,0.4394948113885707,apelblat,-0.3687609426445613,-755.8424701910029,0.4021400194829887,0.9995542704541989,0.0029547307521387975
Brc1cnc2[nH]ccc2c1,COC(C)=O,677,10,278.15,323.15,45.0,-0.5340810774901014,-0.1537333630104677,0.38034771447963367,apelblat,3.239990037023186,-803.1960686960166,-0.1570445816686062,0.9996003846280405,0.0024140225842786485
Brc1cnc2[nH]ccc2c1,ClCCl,677,8,278.15,313.15,35.0,-1.8781327774291787,-0.6423068564149659,1.2358259210142128,apelblat,135.5460574553306,-8661.80463771246,-18.885024187408042,0.9999245118455137,0.0035336309104056184
Brc1sc(Br)c(Br)c1Br,C1CCOC1,3,20,278.05,322.15,44.099999999999966,-0.2856343544431067,0.0525054348675488,0.33813978931065547,apelblat,-9.40843084631748,-163.14490844812366,1.7262663335500394,0.9990011446110683,0.003403149026963373
Brc1sc(Br)c(Br)c1Br,CCCCO,3,11,278.05,320.15,42.099999999999966,-1.5277721196024077,-0.8965481420430585,0.6312239775593491,apelblat,-5.077158469775151,-962.8347795768493,1.2457648453027768,0.9991503459819181,0.005881997134850604
Brc1sc(Br)c(Br)c1Br,CCCO,3,11,281.25,325.15,43.89999999999998,-1.5276716174939964,-0.8991974723835022,0.6284741451104942,apelblat,-93.23129636171899,3033.4767144816683,14.349299424279515,0.9994711566728474,0.004525041628670656
Brc1sc(Br)c(Br)c1Br,CCO,3,20,278.15,325.15,47.0,-1.6579735512422835,-1.0266375904954066,0.6313359607468769,apelblat,-67.52638683185225,1940.3304181495632,10.464032346746508,0.9966239047957499,0.011001857893424012
Brc1sc(Br)c(Br)c1Br,CCOC(C)=O,3,11,278.05,320.15,42.099999999999966,-1.0703963306291122,-0.4792968404873108,0.5910994901418014,apelblat,-32.598792548580285,370.30545710000285,5.366726911910256,0.9996092591650724,0.003675756277487459
Brc1sc(Br)c(Br)c1Br,CCOC=O,3,11,278.05,320.15,42.099999999999966,-1.3043804407962176,-0.6735388693413844,0.6308415714548332,apelblat,6.639057925531089,-1481.4746671528103,-0.46431212486179346,0.9994693646678031,0.004678667634008739
Brc1sc(Br)c(Br)c1Br,CO,3,11,281.25,325.15,43.89999999999998,-2.004295683912852,-1.3958105098563325,0.6084851740565196,apelblat,-105.70356201117089,3605.3607450584404,16.116324619712735,0.9996494809500355,0.0035794133851000565
Brc1sc(Br)c(Br)c1Br,Cc1ccccc1,3,11,278.05,320.15,42.099999999999966,-0.5762996838293483,-0.0805320282918206,0.49576765553752766,apelblat,36.70936332456272,-2525.7872169404272,-5.00965928723828,0.998686044372529,0.005664733141512419
Brc1sc(Br)c(Br)c1Br,ClC(Cl)Cl,3,20,278.05,322.15,44.099999999999966,-0.589745273237874,0.0351263287862625,0.6248716020241365,apelblat,-13.035175983782583,-511.3442133942445,2.538582201406274,0.999546766313473,0.004286836573503879
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,C1CCCCC1,239,9,283.15,323.15,40.0,-2.898180893936756,-1.9560826584682585,0.9420982354684977,apelblat,318.9287815595438,-16299.456248605824,-46.807656825746434,0.9966656347491225,0.017670884045535823
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CC(C)O,239,10,278.15,323.15,45.0,-1.5350804110764618,-0.5267922039828787,1.008288207093583,apelblat,18.297263921206916,-2590.5222679937606,-1.8728523565904969,0.9962510854939948,0.019878505033638662
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CCO,239,10,278.15,323.15,45.0,-0.904538814416453,-0.2982474339723233,0.6062913804441297,apelblat,-91.12187548898207,3035.746618373356,14.091301882596069,0.9993100552491836,0.004988107457638409
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CO,239,10,278.15,323.15,45.0,-0.781382080764024,-0.1593379298125012,0.6220441509515229,apelblat,-81.53485840237519,2569.672427198305,12.706876896310542,0.9994267958001514,0.004739812650703214
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,Cc1ccccc1,239,10,278.15,323.15,45.0,-1.7658763826071446,-0.9402049521910056,0.825671430416139,apelblat,26.835309768493666,-2696.432563874065,-3.3593128310539373,0.9982001989858899,0.011459630142466797
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CC#N,816,9,283.15,323.15,40.0,-1.294438853461903,-0.7962969578153665,0.49814189564653644,apelblat,-20.25058578165368,-107.93225566661867,3.4247819765944456,0.9999777984297091,0.0007597900017474699
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CC(=O)OC(C)C,816,9,283.15,323.15,40.0,-0.813383967292646,-0.2039432073935012,0.6094407598991447,apelblat,3.536811811568163,-1366.1053342881662,0.0841880270326598,0.9999806658720357,0.0008629332711032855
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CC(C)=O,816,9,283.15,323.15,40.0,-1.2795614620796931,-0.3921887704028179,0.8873726916768752,apelblat,-20.80027457711645,-840.4832553362446,3.982621100093231,0.9999102202247994,0.002732172667447941
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CC(C)O,816,9,283.15,323.15,40.0,-1.6878506889149592,-0.8897021168417923,0.7981485720731668,apelblat,-15.163258130409147,-922.2724608673944,2.9637730356382255,0.9999029932169625,0.002525746102316366
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CCC(C)=O,816,9,283.15,323.15,40.0,-0.9619386526743752,-0.4073943353496031,0.554544317324772,apelblat,-27.7259052046402,138.2783480514272,4.653873319891054,0.9999674768961611,0.0010204914428248225
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CCCCO,816,9,283.15,323.15,40.0,-1.3592555335823162,-0.8346104502615873,0.5246450833207289,apelblat,-19.660510351183202,-187.44529500424306,3.358648964848303,0.9999843909397936,0.0006702292375079008
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CCCO,816,9,283.15,323.15,40.0,-1.292518623481587,-0.6598744778151205,0.6326441456664665,apelblat,-19.166549518634962,-410.4209528124016,3.422659884086527,0.9999900943312992,0.000641470981606889
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CCO,816,9,283.15,323.15,40.0,-1.2633281617838654,-0.6070215716566818,0.6563065901271836,apelblat,-22.27396035718469,-316.005469975786,3.9190657746804582,0.9999935693360853,0.0005367591418172272
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CCOC(C)=O,816,9,283.15,323.15,40.0,-0.8138669852677877,-0.5461700210910823,0.2676969641767054,apelblat,30.43693239503557,-1920.7030849589714,-4.333547100000856,0.9994345745950046,0.002050282788767368
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CO,816,9,283.15,323.15,40.0,-0.940523339514328,-0.3907667932855063,0.5497565462288216,apelblat,8.196535512419691,-1467.3102912916904,-0.7004702635828218,0.9999721772581411,0.0009340244856960851
C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,O,816,9,283.15,323.15,40.0,-3.4213409044273457,-2.926396607441276,0.4949442969860698,apelblat,-34.64913582248634,440.23077992411976,5.2544397203926305,0.9991944814060688,0.004598948308771292
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,C1CCOC1,743,11,273.15,323.15,50.0,0.0029723465531261,0.7699252033167603,0.7669528567636342,apelblat,-24.841222035185258,-32.9741124351622,4.450367560812645,0.9995275020359161,0.005269651727420913
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,CC(C)=O,743,11,273.15,323.15,50.0,-0.7692396860024853,-0.3456705849081895,0.42356910109429574,apelblat,-26.78278161348917,530.1182193007517,4.291079362073798,0.999422144145402,0.003202407903995292
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,CC(C)O,633,10,278.15,323.15,45.0,-1.0979750235046126,-0.5993910923218808,0.4985839311827318,apelblat,4.967964938190788,-1107.6206784244687,-0.3701842903046299,0.9999557059250462,0.001059214140336135
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,CC(C)O,743,11,273.15,323.15,50.0,-1.2065138031094715,-0.5691129308285062,0.6374008722809653,apelblat,-44.560539609871675,988.6949321455681,7.083289156443835,0.9998592919949206,0.0023669347880148333
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,CCCCO,743,11,273.15,323.15,50.0,-1.3274410956687386,-0.6080983366213015,0.719342759047437,apelblat,20.444730559612132,-2035.6807395022206,-2.5531432692850107,0.9997046974983215,0.003930772088108036
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,CCCO,633,10,278.15,323.15,45.0,-1.162792856560261,-0.6543221011645072,0.5084707553957538,apelblat,3.0613815353273637,-1046.4871953963725,-0.08252177541510106,0.9999036986122556,0.001601082622488745
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,CCCO,743,11,273.15,323.15,50.0,-1.20787829844929,-0.678894469387491,0.528983829061799,apelblat,-31.256945593538816,543.591935449512,5.001303315254306,0.9996544354441889,0.003132938432718557
